structure,basis set,PySCF_Corr,Psi4_Corr,Abs. Dev.,PySCF_norm_t1,Psi4_norm_t1,PySCF_norm_t2,Psi4_norm_t2
FLi,cc-pVDZ,-0.209124978,-0.209178474,5.34959E-05,0.053285842799092584,0.053315488,0.19255220790645286,0.19271780603702207
HLi,cc-pVDZ,-0.031108877,-0.031025843,8.30338E-05,0.023466778233964845,0.023470347,0.16366942058818273,0.16345696623470138
BLi,cc-pVDZ,-0.095231988,-0.095135376,9.66125E-05,0.084750591,0.085246606,0.3952625942469907,0.39529647135235896
LiN,aug-cc-pVDZ,-0.169154819,-0.169030481,0.000124338,0.038724167,0.038701264,0.3802909967764681,0.3802731630161341
LiN,STO-3G,-0.07657032,-0.077756673,0.001186353,0.091110331,0.085223897,0.8740556859867414,0.43942997564851893
BC,STO-3G,-0.19787934,-0.202448648,0.004569308,0.285924988,0.1626919540825717,0.5667657353365718,0.550066878
BeLi,STO-3G,-0.039494213,-0.045231508,0.005737295,0.2208504931790341,0.13818247866917624,0.3527507390113655,0.29433607523053423
BeH,STO-3G,-0.021963358,-0.029004551,0.007041193,0.042569857,0.13278296640117376,0.15667626935484105,0.1487575180886776
LiN,cc-pVDZ,-0.154263714,-0.161410655,0.007146942,0.042235017178379075,0.043984432,0.3912305873456961,0.43535754144676375
BeF,aug-cc-pVDZ,-0.235163179,-0.243124336,0.007961158,0.07368174,0.11313510717444081,0.3063999243375618,0.21155097532187253
BeH,aug-cc-pVDZ,-0.040415943,-0.048953752,0.008537809,0.034561237407173775,0.14947225751606968,0.1924648166923247,0.17482175042039869
BeH,cc-pVDZ,-0.038862345,-0.047587817,0.008725473,0.034886004034834855,0.14799459703424261,0.186863167,0.17331966591315037
BeF,cc-pVDZ,-0.217013541,-0.226378064,0.009364524,0.075342336,0.1175247321990338,0.2885181901291539,0.20485523065798478
BeF,STO-3G,-0.052819152,-0.072892629,0.020073476,0.12234741614266242,0.17381940507273422,0.25126474373855906,0.19417427311919233
HH,STO-3G,-0.021457408,,0.021457408,1.4342539766911463e-16,3.662527473228887e-16,0.11764658654358612,0.11764539836764235
BeLi,aug-cc-pVDZ,-0.048122017,-0.069916999,0.021794982,0.1738611988827049,0.27929387580368503,0.3410751597736341,0.32281160999275904
BeLi,cc-pVDZ,-0.046988206,-0.068966932,0.021978726,0.17496980269986362,0.2771332922835898,0.3389576605355023,0.3224184079328793
BC,cc-pVDZ,-0.237538352,-0.261615244,0.024076892,0.3013257980712992,0.20189882640187268,0.5425902842203357,0.5072684056609172
