,structure,basis set,PySCF_Corr,Psi4_Corr,PySCF_norm_t1,Psi4_norm_t1,PySCF_norm_t2,Psi4_norm_t2
53,NN,aug-cc-pVDZ,-0.32463921001485624,-0.3246392307521264,0.041350872099276584,0.0413510512777601,0.317026810230079,0.0413510512777601
54,BeBe,STO-3G,-0.1031072082271841,-0.10310719335153912,0.03225088714685059,0.032251118547567216,0.5059046566001445,0.032251118547567216
55,BeBe,cc-pVDZ,-0.09785549898729008,-0.09786219085303278,0.05125909915802129,0.05124409389745313,0.4631304690066659,0.05124409389745313
56,BeBe,aug-cc-pVDZ,-0.09816228962807699,-0.09818478349912707,0.05542460888401886,0.05545072776778277,0.46257756901400654,0.05545072776778277
57,BC,STO-3G,,,,,,
58,BC,cc-pVDZ,,,,,,
59,BC,aug-cc-pVDZ,,,,,,
60,BeC,STO-3G,-0.14422148964220116,-0.14422136763010612,0.17000936183416315,0.17000802504788984,0.5154485733539176,0.17000802504788984
61,BeC,cc-pVDZ,-0.18039684085780752,-0.18037202610239333,0.15776974889040302,0.1578329597970761,0.45246920379327815,0.1578329597970761
62,BeC,aug-cc-pVDZ,-0.18392884135234677,-0.18388535894893424,0.15655951103259574,0.15665157965179802,0.4499108126490107,0.15665157965179802
63,HLi,STO-3G,-0.020275919926000124,-0.02027591889970389,0.03892874143409883,0.03892882327128576,0.15204491869252637,0.03892882327128576
64,HLi,cc-pVDZ,-0.031108876633573687,-0.031025842821815933,0.023466778233964033,0.02347034970484862,0.1636694205881824,0.02347034970484862
65,HLi,aug-cc-pVDZ,-0.0371125043795943,-0.03709560169114091,0.017419481741672415,0.017462725230707327,0.1752887506447648,0.017462725230707327
66,BB,STO-3G,-0.18319514895105543,-0.1831950687209731,0.12492368604365202,0.12492366743408977,0.582370062125555,0.12492366743408977
67,BB,cc-pVDZ,-0.19375201583463805,-0.19375214590149795,0.09649011046106068,0.09649015058413032,0.516084322121741,0.09649015058413032
68,BB,aug-cc-pVDZ,-0.19594798915833464,-0.19594799949956157,0.09825732928793243,0.09825604159123336,0.5171984246621195,0.09825604159123336
69,FLi,STO-3G,-0.05486759830206185,-0.05486751428284929,0.11948916591852682,0.11949084230473077,0.19139416181074875,0.11949084230473077
70,FLi,cc-pVDZ,-0.20912497438394284,-0.20917847406657297,0.05328580193863759,0.05331548834523248,0.19255219457741948,0.05331548834523248
71,FLi,aug-cc-pVDZ,-0.23722905580559,-0.23723664416633,0.05274983100025258,0.05271703445034606,0.20769452926019413,0.05271703445034606
72,NO,STO-3G,,,,,,
73,NO,cc-pVDZ,,,,,,
