Name,L,Basis,Injection,Energy_NoRecovery,SubspaceDim_NoRecovery
but-1-yne,2,cc-pVDZ,MP2,-154.9113882737653,97969
but-1-yne,2,cc-pVDZ,random,-154.9113882737653,130321
but-1-yne,2,cc-pVDZ,zeroes,-154.9142500570294,86436
but-1-yne,3,STO-3G,CCSD,-153.0248949590479,121801
but-1-yne,3,STO-3G,ML,-153.0248949590479,87025
but-1-yne,3,STO-3G,ML_exact,-153.0248949590479,90601
but-1-yne,3,STO-3G,MP2,-153.0248949590479,121801
but-1-yne,3,STO-3G,random,-153.0248949590479,148225
but-1-yne,3,STO-3G,zeroes,-153.0347562390058,81225
but-1-yne,3,aug-cc-pVDZ,CCSD,-154.9167852198252,123201
but-1-yne,3,aug-cc-pVDZ,ML,-154.916785232375,121801
but-1-yne,3,aug-cc-pVDZ,ML_exact,-154.9167852198252,120409
but-1-yne,3,aug-cc-pVDZ,MP2,-154.9167852198252,114921
but-1-yne,3,aug-cc-pVDZ,random,-154.9167852198252,99225
but-1-yne,3,aug-cc-pVDZ,zeroes,-154.9168224596349,84681
but-1-yne,3,cc-pVDZ,CCSD,-154.9113882737653,101761
but-1-yne,3,cc-pVDZ,ML,-154.9113882737653,127449
but-1-yne,3,cc-pVDZ,ML_exact,-154.9113882737653,128881
but-1-yne,3,cc-pVDZ,MP2,-154.9113882737653,117649
but-1-yne,3,cc-pVDZ,random,-154.9113882737653,117649
but-1-yne,3,cc-pVDZ,zeroes,-154.9133246212353,97344
but-1-yne,4,STO-3G,CCSD,-153.0248949590479,123201
but-1-yne,4,STO-3G,ML,-153.0248949625537,117649
but-1-yne,4,STO-3G,ML_exact,-153.0248949590479,134689
but-1-yne,4,STO-3G,MP2,-153.0248949590479,113569
but-1-yne,4,STO-3G,random,-153.0248949590479,112225
but-1-yne,4,STO-3G,zeroes,-153.0463713698925,85849
but-1-yne,4,aug-cc-pVDZ,CCSD,-154.9167852198252,127449
but-1-yne,4,aug-cc-pVDZ,ML,-154.9167852198252,146689
but-1-yne,4,aug-cc-pVDZ,ML_exact,-154.9167852198252,110889
but-1-yne,4,aug-cc-pVDZ,MP2,-154.9167852198252,112225
but-1-yne,4,aug-cc-pVDZ,random,-154.9167852198252,119025
but-1-yne,4,aug-cc-pVDZ,zeroes,-154.9168214274052,58564
but-1-yne,4,cc-pVDZ,CCSD,-154.9113882737653,139129
